City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,southport,53.6478,-3.0065,15.45,82,20,4.12,GB,1729347389
1,acarau,-2.8856,-40.12,32.12,54,16,7.51,BR,1729347391
2,waitangi,-43.9535,-176.5597,10.88,71,31,2.82,NZ,1729347392
3,anadyr,64.75,177.4833,-0.72,80,40,4.0,RU,1729347393
4,adamstown,-25.066,-130.1015,21.61,84,100,7.09,PN,1729347394
5,thunder bay,48.4001,-89.3168,9.99,100,100,2.57,CA,1729347395
6,st. john's,47.5649,-52.7093,8.87,58,20,11.32,CA,1729347319
7,port mathurin,-19.6833,63.4167,23.25,72,90,8.59,MU,1729347398
8,papatowai,-46.5619,169.4708,12.6,87,100,1.41,NZ,1729347399
9,saudarkrokur,65.7461,-19.6394,5.71,86,100,9.86,IS,1729347253
10,chonchi,-42.6128,-73.8092,16.18,58,100,1.53,CL,1729347401
11,albany,42.6001,-73.9662,11.98,81,0,0.45,US,1729346864
12,blackmans bay,-43.0167,147.3167,10.96,80,0,0.45,AU,1729347404
13,montelibano,7.9829,-75.4229,26.01,88,100,1.67,CO,1729347405
14,stanley,54.868,-1.6985,14.74,64,20,5.14,GB,1729347406
15,port elizabeth,-33.918,25.5701,17.95,80,100,3.09,ZA,1729347407
16,hamilton,39.1834,-84.5333,13.82,75,20,0.0,US,1729346838
17,bethel,41.3712,-73.414,14.97,69,0,1.87,US,1729347409
18,jamestown,42.097,-79.2353,8.8,93,0,2.06,US,1729347352
19,labytnangi,66.6572,66.4183,1.61,93,93,4.69,RU,1729347411
20,shingu,33.7333,135.9833,21.08,95,100,2.41,JP,1729347412
21,port saint john's,-31.6229,29.5448,20.34,77,78,4.32,ZA,1729347413
22,port-aux-francais,-49.35,70.2167,3.27,81,98,16.04,TF,1729347414
23,manadhoo,5.7667,73.3833,27.86,78,100,3.77,MV,1729347415
24,susuman,62.7833,148.1667,-18.22,99,100,0.51,RU,1729347416
25,puerto ayora,-0.7393,-90.3518,20.31,95,100,1.79,EC,1729347417
26,invercargill,-46.4,168.35,11.12,91,100,1.63,NZ,1729347419
27,kodiak,57.79,-152.4072,2.73,44,0,5.66,US,1729347420
28,uturoa,-16.7333,-151.4333,25.82,82,69,8.98,PF,1729347421
29,whitehorse,60.7161,-135.0538,-8.57,79,100,3.09,CA,1729347422
30,majene,-3.5403,118.9707,25.58,86,100,1.38,ID,1729347423
31,tralee,52.2704,-9.7026,14.14,67,75,3.6,IE,1729347424
32,kijang,35.2442,129.2139,13.85,79,100,14.78,KR,1729347425
33,puerto natales,-51.7236,-72.4875,13.25,54,75,9.26,CL,1729347426
34,tual,-5.6667,132.75,27.87,80,79,6.3,ID,1729347427
35,ilulissat,69.2167,-51.1,-6.99,63,75,2.06,GL,1729347428
36,lihue,21.9789,-159.3672,22.77,94,75,2.57,US,1729347429
37,arraial do cabo,-22.9661,-42.0278,23.92,83,75,3.09,BR,1729347430
38,ushuaia,-54.8,-68.3,7.81,76,75,6.17,AR,1729347432
39,portland,45.5234,-122.6762,13.3,86,75,2.57,US,1729347017
40,boyolangu,-8.1181,111.8935,24.33,94,98,2.15,ID,1729347434
41,kankan,10.3854,-9.3057,28.0,69,100,1.49,GN,1729347435
42,aykhal,66.0,111.5,-12.1,97,100,0.63,RU,1729347436
43,lompoc,34.6391,-120.4579,9.4,56,0,5.14,US,1729347315
44,mapastepec,15.4333,-92.9,27.45,70,100,0.57,MX,1729347215
45,grytviken,-54.2811,-36.5092,-2.15,69,43,4.42,GS,1729347439
46,tuyen quang,21.8233,105.2181,25.31,86,20,1.05,VN,1729347440
47,yellowknife,62.456,-114.3525,-5.88,95,75,2.06,CA,1729347221
48,hermanus,-34.4187,19.2345,18.78,55,42,5.71,ZA,1729347442
